代號,名稱,成交,財報季度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),累季ROE(%),累季ROE增減,年估ROE(%),累季ROA(%),累季ROA增減,年估ROA(%),財報評分,stock_id,filter_reason
"=""1294""",漢田生技,82.6,25Q4,7.79,4.02,2.89,-5.51,1.39,-10.7,37.1,-3.74,17.9,-2.9,4.6,-1.42,16.8,-8.61,16.8,12.2,-2.99,12.2,70,1294,成交值僅 0.1 億
"=""1341""",富林-KY,59.5,25Q4,25.7,-7.95,5.84,-0.92,1.96,-30.6,22.7,1.61,7.64,-2.49,3.71,-1.67,14.3,-6.22,14.3,8.24,-3.99,8.24,48,1341,成交值僅 0.0 億
"=""1342""",八貫,86.0,25Q4,28.6,13.9,7.72,1.82,4.43,-9.56,27.0,-3.2,15.5,-4.02,5.62,-0.65,18.5,-2.62,18.5,12.3,-1.96,12.3,50,1342,成交值僅 0.3 億
"=""1476""",儒鴻,367.5,25Q4,380.0,3.15,109.0,-4.29,55.1,-17.0,28.6,-2.23,14.5,-3.51,20.1,-4.1,18.8,-5.49,18.8,15.6,-4.06,15.6,64,1476,技術面未達標
"=""1560""",中砂,474.0,25Q4,81.5,16.1,26.5,21.0,13.6,31.4,32.5,1.31,17.1,2.01,9.28,2.18,17.6,2.27,17.6,11.5,1.34,11.5,57,1560,技術面未達標
"=""1590""",亞德客-KY,981.0,25Q4,343.0,12.0,158.0,10.3,84.0,10.2,46.0,-0.71,24.5,-0.4,42.0,3.88,16.7,-0.13,16.7,14.6,1.41,14.6,72,1590,技術面未達標
"=""1707""",葡萄王,119.5,25Q4,103.0,-8.14,77.0,-11.1,12.2,-15.9,75.1,-2.49,18.2,-1.3,8.22,-1.56,15.6,-2.94,15.6,12.0,-2.1,12.0,72,1707,成交值僅 0.1 億
"=""2059""",川湖,3405.0,25Q4,175.0,72.8,133.0,90.1,98.4,59.8,76.0,6.92,56.2,-4.56,103.23,38.64,39.9,7.26,39.9,32.0,5.8,32.0,93,2059,技術面未達標
"=""2070""",精湛,39.25,25Q4,6.94,-2.97,3.22,-13.8,0.82,-22.7,46.4,-5.83,11.8,-3.02,2.3,-0.67,8.73,-2.81,8.73,6.1,-1.21,6.1,62,2070,成交值僅 0.0 億
"=""2114""",鑫永銓,88.8,25Q4,16.0,8.87,6.34,7.64,4.51,13.3,39.7,-0.45,28.2,1.09,5.78,0.67,14.4,1.51,14.4,12.0,1.4,12.0,80,2114,成交值僅 0.0 億
