date,open,high,low,close,volume,foreign_investor_net,investment_trust_net,dealer_net,stock_id,country,revenue,revenue_month,revenue_year,daily_revenue,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,MarginPurchaseBalanceChange,ShortSaleBalanceChange
2025-01-02,501.0,507.0,498.0,505.0,2423114,-608922,830452,131281,3034,Taiwan,8480869000,1,2025,565391266.6666666,29,1,152127,64,2583,2619, ,0,0,0,152127,14,84,70,,
2025-01-03,505.0,505.0,494.5,494.5,2089658,-1194582,134000,80370,3034,Taiwan,8480869000,1,2025,565391266.6666666,85,1,152127,15,2652,2583, ,0,5,0,152127,66,145,84,69.0,61.0
2025-01-06,497.5,504.0,496.0,496.0,2013993,140754,-154906,122089,3034,Taiwan,8480869000,1,2025,565391266.6666666,106,2,152127,81,2675,2652, ,0,70,0,152127,1,76,145,23.0,-69.0
2025-01-07,499.0,509.0,499.0,503.0,2650185,1017892,-308209,34111,3034,Taiwan,8480869000,1,2025,565391266.6666666,57,0,152127,112,2620,2675, ,0,0,0,152127,6,82,76,-55.0,6.0
2025-01-08,503.0,510.0,502.0,506.0,1779232,737092,-232742,89403,3034,Taiwan,8480869000,1,2025,565391266.6666666,16,0,152127,60,2576,2620, ,0,1,0,152127,1,82,82,-44.0,0.0
2025-01-09,504.0,505.0,493.0,493.0,2243014,-1252207,42057,221784,3034,Taiwan,8480869000,1,2025,565391266.6666666,85,0,152127,49,2612,2576, ,0,6,0,152127,7,83,82,36.0,1.0
2025-01-10,490.0,495.5,488.0,488.0,1860353,-666308,159364,148072,3034,Taiwan,8480869000,1,2025,565391266.6666666,47,0,152127,24,2635,2612, ,0,1,0,152127,1,83,83,23.0,0.0
2025-01-13,486.0,488.0,481.0,484.0,2579726,-617056,257395,241212,3034,Taiwan,8480869000,1,2025,565391266.6666666,19,0,152127,53,2601,2635, ,0,8,0,152127,8,83,83,-34.0,0.0
2025-01-14,487.0,504.0,485.5,504.0,3517062,766251,151562,76591,3034,Taiwan,8480869000,1,2025,565391266.6666666,17,0,152127,79,2539,2601, ,0,0,0,152127,11,94,83,-62.0,11.0
2025-01-15,504.0,510.0,502.0,507.0,3305145,684666,56698,149891,3034,Taiwan,8480869000,1,2025,565391266.6666666,27,0,152127,34,2532,2539, ,0,6,0,152127,6,94,94,-7.0,0.0
